"","StationCode","FinalID","BAResult","Distinct"
"166","Site3","Pacifastacus",1,0
"167","Site3","Parachaetocladius",1,0
"168","Site3","Parametriocnemus",1,0
"169","Site3","Parapsyche",4,0
"170","Site3","Parthina",1,0
"171","Site3","Pericoma/ Telmatoscopus",4,0
"172","Site3","Pisidium",1,0
"173","Site3","Polycentropus",1,0
"174","Site3","Pteronarcys",2,0
"175","Site3","Pteronarcys californica",3,0
"176","Site3","Rhyacophila",2,0
"177","Site3","Rhyacophila betteni group",18,0
"178","Site3","Simulium",100,0
"179","Site3","Soliperla",2,0
"180","Site3","Sperchon",3,0
"181","Site3","Sperchonopsis",1,0
"182","Site3","Stempellinella",4,0
"183","Site3","Sweltsa",5,0
"184","Site3","Tanytarsini",6,0
"185","Site3","Thienemannimyia group",1,0
"186","Site3","Torrenticola",12,0
"187","Site3","Tvetenia",1,0
"188","Site3","Tvetenia",2,0
"189","Site3","Zaitzevia",1,0
"190","Site3","Agapetus",15,NA
"191","Site3","Antocha",28,NA
"192","Site3","Apatania",2,NA
"193","Site3","Baetidae",62,NA
"194","Site3","Baetis",14,NA
"195","Site3","Calineuria",1,NA
"196","Site3","Ceratopogonidae",2,NA
"197","Site3","Chelifera",3,NA
"198","Site3","Chironomidae",6,NA
"199","Site3","Chironominae",69,NA
"200","Site3","Chloroperlidae",6,NA
"201","Site3","Dicranota",2,NA
"202","Site3","Elmidae",19,NA
"203","Site3","Ephemerella",2,NA
"204","Site3","Ephemerellidae",5,NA
"205","Site3","Eubrianax",1,NA
"206","Site3","Glossosoma",2,NA
"207","Site3","Glossosomatidae",1,NA
"208","Site3","Glutops",1,NA
"209","Site3","Heptageniidae",31,NA
"210","Site3","Hydrobiidae",1,NA
"211","Site3","Hydropsyche",6,NA
"212","Site3","Hydropsychidae",26,NA
"213","Site3","Hydroptilidae",12,NA
"214","Site3","Leptophlebiidae",3,NA
"215","Site3","Nematoda",1,NA
"216","Site3","Neophylax",1,NA
"217","Site3","Optioservus",2,NA
"218","Site3","Orthocladiinae",52,NA
"219","Site3","Perlidae",5,NA
"220","Site3","Philopotamidae",1,NA
"221","Site3","Rhyacophila",3,NA
"222","Site3","Simuliidae",1,NA
"223","Site3","Simulium",31,NA
"224","Site3","Tanypodinae",22,NA
"225","Site3","Tipulidae",1,NA
"226","Site3","Trichoptera",12,NA
"227","Site3","Trombidiformes",37,NA
"228","Site3","Zapada",24,NA
"229","Site3","Chironominae",100,NA
"230","Site3","Chironominae",100,NA
"231","Site3","Plecoptera",500,NA
