BAResult,CollectionMethodCode,Distinct,FinalID,LifeStageCode,origin_lastupdatedate,record_origin,record_publish,FieldReplicate,SampleDate,SampleID,StationCode,DatabaseCode
2,BMI_RWB,0,Hydropsychidae,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
26,BMI_RWB,1,Hydroptila,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
6,BMI_RWB,0,Hydroptilidae,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
17,BMI_RWB,1,Labrundinia,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,1,Libellulidae,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,0,Limoniinae,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,1,Microtendipes,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,1,Nanocladius,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,1,Nectopsyche,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
7,BMI_RWB,1,Nilotanypus,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
7,BMI_RWB,1,Oligochaeta,X,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,1,Orthocladius complex,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
200,BMI_RWB,1,Ostracoda,X,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
10,BMI_RWB,1,Parametriocnemus,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,1,Paratendipes,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
22,BMI_RWB,1,Pentaneura,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,1,Physa,X,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
7,BMI_RWB,1,Pisidium,X,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
18,BMI_RWB,1,Polypedilum,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,1,Polypedilum,P,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,1,Probezzia,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,1,Pseudochironomus,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
16,BMI_RWB,1,Rheotanytarsus,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,1,Simulium hippovorum,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,1,Sperchon,X,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,0,Tanypodinae,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
48,BMI_RWB,1,Tanytarsus,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
1,BMI_RWB,1,Tinodes,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
2,BMI_RWB,1,Tipula,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
3,BMI_RWB,1,Torrenticola,X,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
19,BMI_RWB,1,Tricorythodes explicatus,L,,SMC,true,1,2016-06-14,SMC01096_06142016_BMI_RWB_1,SMC01096,SMC
