gdb_geomattr_data,shape,SampleDate,FieldReplicate,SampleID,FinalID,LifeStageCode,Distinct,BAResult,CollectionMethodCode,record_origin,origin_lastupdatedate,DatabaseCode
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Zaitzevia parvula,A,0,4,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Zaitzevia,A,0,4,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Ironodes,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Rhyacophila,L,0,3,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Testudacarus,X,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Trichoptera,L,0,3,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Hesperoperla pacifica,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Atractelmis wawona,L,0,5,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Physa,X,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Optioservus,L,0,17,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Cricotopus,L,0,3,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Rhithrogena,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Rhyacophila coloradensis group,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Epeorus,L,0,200,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Sweltsa,L,0,7,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Simulium,P,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Optioservus,L,0,83,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Micropsectra,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Rheotanytarsus,L,0,4,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Sphaeriidae,X,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Calineuria californica,L,0,3,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Heptageniidae,L,0,7,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Malenka,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Stygothrombium,X,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Baetis,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Octogomphus specularis,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Chironomini,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Zaitzevia,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Ampumixis dispar,L,0,14,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Polycentropus,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Corynoneura,L,0,2,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Calineuria californica,L,0,7,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Lepidostoma,L,0,17,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Plecoptera,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Cultus,L,0,4,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Rhyacophila hyalinata group,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Lebertia,X,0,3,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Polypedilum,L,0,3,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Eubrianax edwardsii,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Pteronarcys,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Lebertia,X,0,4,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Cinygmula,L,0,15,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Optioservus,A,0,10,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Torrenticola,X,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Rheotanytarsus,L,0,11,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Micrasema,L,0,14,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Simulium,L,0,12,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Ironodes,L,0,2,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Simulium,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Baetis tricaudatus,L,0,22,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Cinygmula,L,0,38,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Sweltsa,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Ampumixis dispar,L,0,13,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Micropsectra/ Tanytarsus,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Kogotus/Rickera,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Paraleptophlebia,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Orthocladiinae,L,0,14,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Perlodidae,L,0,4,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Ameletus,L,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Rheotanytarsus,L,0,6,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Rhithrogena,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Perlodidae,L,1,6,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Orthocladiinae,P,0,3,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Thienemannimyia group,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Hydropsyche,L,0,52,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Acentrella turbida,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Ironodes,L,0,10,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Ephemerellidae,L,0,4,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Epeorus,L,0,216,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Rhyacophila brunnea group,L,0,3,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Perlodidae,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Stygothrombium,X,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Simulium,L,0,17,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Turbellaria,X,0,10,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Potthastia gaedii group,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Zaitzevia,L,0,6,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Zaitzevia,L,0,5,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Baetis tricaudatus,L,0,7,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Brillia,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Protzia,X,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Micropsectra,L,0,3,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Amiocentrus aspilus,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Paraleptophlebia,L,0,11,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Optioservus,A,0,7,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Ephemerellidae,L,0,13,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Zapada cinctipes,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Ameletus,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Plecoptera,L,0,5,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Lepidostoma,L,0,18,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Cleptelmis addenda,A,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Thienemannimyia group,L,0,3,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Ameletus,L,0,4,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Helicopsyche,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Oligochaeta,X,0,13,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Eubrianax edwardsii,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Micrasema,L,0,17,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Cricotopus nostocicola,L,0,3,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Oroperla barbara,L,0,2,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Zaitzevia,A,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Arctopsyche grandis,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Microtendipes rydalensis group,L,0,6,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Baetis tricaudatus,L,0,8,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Orthocladius complex,L,0,4,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Cleptelmis addenda,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Protzia,X,0,2,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Cleptelmis addenda,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Nemouridae,L,0,5,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Hydropsyche,L,0,24,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Torrenticolidae,X,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Ephemerellidae,L,1,11,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Optioservus,L,0,17,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Taeniopterygidae,L,0,9,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Eukiefferiella,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Antocha monticola,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Oligochaeta,X,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Micrasema,L,0,55,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Apatania,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Frisonia picticeps,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Cordulegaster dorsalis,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Corydalidae,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Paraleptophlebia,L,0,4,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Amiocentrus aspilus,L,0,7,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Hemerodromia,L,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Cinygmula,L,0,18,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Rhyacophila betteni group,L,0,3,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Eukiefferiella,L,0,3,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Cultus,L,0,5,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Calineuria californica,L,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Glossosoma,L,0,13,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Hydropsyche,L,0,18,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Orthocladius complex,L,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Prostoma,X,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Sperchon,X,0,3,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Torrenticola,X,0,13,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Lara,L,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Ordobrevia nubifera,A,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Microtendipes rydalensis group,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Stygothrombium,X,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Lebertia,X,0,5,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Orthocladius,P,0,5,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Optioservus,A,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Chloroperlidae,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Glossosoma,L,0,7,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Lepidostoma,L,0,28,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Rhyacophila,L,1,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Orthocladius complex,L,0,10,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Protzia,X,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Ampumixis dispar,L,0,11,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Elmidae,L,0,2,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Perlodidae,L,1,4,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Sperchon,X,0,2,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Glossosoma,L,0,5,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Turbellaria,X,0,5,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Chironomini,L,0,3,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Isoperla,L,0,3,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Apatania,L,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Ordobrevia nubifera,A,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Antocha monticola,L,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Epeorus,L,0,265,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Claassenia sabulosa,L,0,1,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Orthocladiinae,P,0,1,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Tanytarsus,L,0,3,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Corydalidae,L,0,5,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Polycentropus,L,0,4,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Plecoptera,L,0,5,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Capniidae,L,0,5,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2012-11-09,1,507BTC269_11092012_BMI_TRC_1,Torrenticola,X,0,1,BMI_TRC,SWAMP,2015-11-17,SWAMP
,,2013-10-25,1,507BTC269_10252013_BMI_TRC_1,Tvetenia bavarica group,L,0,2,BMI_TRC,SWAMP,2015-11-05,SWAMP
,,2014-10-31,1,507BTC269_10312014_BMI_TRC_1,Sperchon,X,0,6,BMI_TRC,SWAMP,2015-10-16,SWAMP
,,2014-10-21,1,507SHA201_10212014_BMI_TRC_1,Oligochaeta,X,0,76,BMI_TRC,SWAMP,2015-10-15,SWAMP
