BAResult,CollectionMethodCode,Distinct,FinalID,LifeStageCode,origin_lastupdatedate,record_origin,FieldReplicate,SampleDate,SampleID,StationCode,DatabaseCode
10,BMI_RWB,0,Labrundinia,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
9,BMI_RWB,0,Prostoma,X,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
3,BMI_RWB,0,Ablabesmyia,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
2,BMI_RWB,0,Robackia demeijerei,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
36,BMI_RWB,0,Rheotanytarsus,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
42,BMI_RWB,0,Corbicula,X,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
1,BMI_RWB,0,Liodessus obscurellus,A,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
1,BMI_RWB,0,Stenochironomus,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
1,BMI_RWB,0,Corynoneura,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
2,BMI_RWB,0,Cricotopus trifascia group,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
1,BMI_RWB,0,Hydroptila,P,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
1,BMI_RWB,0,Cryptochironomus,L,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
58,BMI_RWB,0,Fallceon quilleri,L,2016-02-05,SWAMP,2,2004-10-15,519DRCGRP_10152004_BMI_RWB_2,519DRCGRP,SWAMP
7,BMI_RWB,0,Lumbricina,X,2016-02-05,SWAMP,1,2004-10-15,519DRCGRP_10152004_BMI_RWB_1,519DRCGRP,SWAMP
5,,1,Ablabesmyia,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
3,,1,Apedilum,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
20,,1,Baetis,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
2,,1,Caloparyphus/ Euparyphus,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
43,,1,Dicrotendipes,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
1,,1,Dicrotendipes,P,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
14,,1,Fallceon,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
17,,1,Hydroptila,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
2,,0,Hydroptilidae,P,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
25,,1,Lebertia,X,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
73,,1,Lymnaea,X,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
1,,1,Menetus opercularis,X,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
2,,1,Mideopsis,X,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
7,,1,Ochrotrichia,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
13,,1,Oligochaeta,X,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
53,,1,Ostracoda,X,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
5,,1,Oxyethira,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
176,,1,Physa,X,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
1,,1,Procladius,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
4,,1,Prostoma,X,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
35,,1,Pseudochironomus,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
1,,1,Pseudochironomus,P,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
59,,1,Rheotanytarsus,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
5,,1,Rheotanytarsus,P,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
29,,1,Tanytarsus,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
3,,1,Tanytarsus ,P,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
1,,1,Tinodes,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
29,,1,Tricorythodes explicatus,L,,SMC,1,2014-07-09,SMC06496_07092014_None_1,SMC06496,SMC
1,,1,Ablabesmyia,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
1,,1,Atractides,X,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
80,,0,Baetis,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
5,,1,Baetis adonis,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
1,,0,Chironomidae ,P,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
5,,1,Dicrotendipes,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
1,,1,Dicrotendipes ,P,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
16,,1,Fallceon,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
1,,1,Hemerodromia,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
15,,1,Hydropsyche,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
28,,1,Hydroptila,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
10,,0,Hydroptilidae,P,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
20,,1,Lebertia,X,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
48,,1,Lymnaea,X,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
4,,1,Mideopsis,X,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
26,,1,Ochrotrichia,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
91,,1,Ostracoda,X,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
36,,1,Oxyethira,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
13,,1,Oxyethira,P,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
104,,1,Physa,X,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
3,,1,Procladius,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
2,,1,Prostoma,X,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
23,,1,Pseudochironomus,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
61,,1,Rheotanytarsus,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
2,,1,Rheotanytarsus ,P,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
1,,1,Simulium tescorum,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
1,,1,Simulium vittatum,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
6,,1,Sperchon,X,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
1,,1,Synorthocladius,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
4,,1,Tanytarsus,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
1,,1,Tanytarsus ,P,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
1,,1,Thienemannimyia group,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
29,,1,Tricorythodes explicatus,L,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
1,,1,Turbellaria,X,,SMC,2,2014-07-09,SMC06496_07092014_None_2,SMC06496,SMC
