gdb_geomattr_data,shape,stationcode,sampledate,replicate,sampleid,finalid,lifestagecode,distinctcode,baresult,collectionmethodcode,record_origin,origin_lastupdatedate,StationCode,databasecode
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Tvetenia,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Lebertia,X,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Baetis tricaudatus,L,0,29,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Tanytarsus,L,0,11,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Serratella tibialis,L,0,20,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Sweltsa,L,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Orthocladius,L,0,9,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Polypedilum,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Dixa,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Antocha,L,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Diphetor hageni,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Megarcys,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Micrasema,L,0,67,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Brillia,L,0,12,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Rheotanytarsus,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Malenka,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Leuctridae,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Diamesa,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Hydropsyche,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Protzia,X,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Cinygma,L,0,7,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Synorthocladius,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Drunella coloradensis,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Rhyacophila brunnea,L,0,5,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Paraleptophlebia,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Dolophilodes,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Doroneuria,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Epeorus,L,0,8,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Torrenticola,X,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Sperchon,X,0,14,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Cinygmula,L,0,5,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Neophylax,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Rhyacophila narvae,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Eukiefferiella,L,0,14,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Zapada frigida,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Heterlimnius,L,0,28,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Sierraperla cora,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Perlodidae,L,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Pagastia,L,0,6,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Hexatoma,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Rhyacophila angelita,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,509CTC033,2010-07-18,1,509CTC033_07182010_BMI_RWB_1,Microtendipes,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-033,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Parapsyche,L,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Atrichopogon,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Baetis flavistriga,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Cricotopus,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Paratendipes,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Lepidostoma,L,0,20,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Brillia,L,0,6,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Stempellinella,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Orthocladius,L,0,19,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Simulium,L,0,12,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Pagastia,L,0,15,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Microtendipes,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Oreogeton,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Amiocentrus aspilus,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Baetis,L,0,5,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Serratella teresa,L,0,14,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Hexatoma,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Eukiefferiella,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Yphria californica,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Apatania,L,0,23,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Soyedina,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Reomyia,L,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Oligochaeta,X,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Perlodidae,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Rhyacophila brunnea,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Gomphidae,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Atractides,X,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Agapetus,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Drunella coloradensis,L,0,7,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Heteroplectron californicum,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Neophylax splendens,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Macropelopia,L,0,10,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Gumaga,L,0,9,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Serratella tibialis,L,0,10,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Rhyacophila pellisa,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Timpanoga hecuba,L,0,8,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Drunella grandis,L,0,12,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Tvetenia,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Parametriocnemus,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Malenka,L,0,17,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Dicranota,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Sialis,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Polycelis,X,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Zapada frigida,L,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Polycentropodidae,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Corydalidae,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Moselia infuscata,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Zaitzevia,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Epeorus,L,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Polypedilum,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Torrenticola,X,0,26,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Eubrianax edwardsii,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Drunella spinifera,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Ameletus,L,0,5,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Heptageniidae,L,0,5,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Chaetocladius,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Gyraulus,X,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Thienemannimyia,L,0,45,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Rhyacophila betteni,L,0,11,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Doroneuria,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Yoraperla,L,0,8,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Dytiscidae,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Micrasema,L,0,10,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Paraleptophlebia,L,0,17,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Rhyacophila narvae,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Trichoclinocera,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Antocha,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Drunella doddsii,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Calineuria californica,L,0,8,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Sweltsa,L,0,10,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Baetis tricaudatus,L,0,143,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Micropsectra,L,0,23,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Allocosmoecus partitus,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Lara,L,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,532MKN078,2010-08-02,1,532MKN078_08022010_BMI_RWB_1,Ochrotrichia,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-078,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Rheotanytarsus,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Eukiefferiella,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Rheocricotopus,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Torrenticola,X,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Lopescladius,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Chaetocladius,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Gumaga,L,0,6,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Optioservus,L,0,9,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Malenka,L,0,4,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Phaenopsectra,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Simulium,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Drunella doddsii,L,0,23,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Tanytarsus,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Ameletus,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Yoraperla,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Orthocladius,L,0,10,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Lepidostoma,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Hydropsyche,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Ordobrevia nubifera,L,0,12,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Zaitzevia,L,0,11,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Polypedilum,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Leptophlebiidae,L,0,1,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Heptageniidae,L,0,10,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Eubrianax edwardsii,L,0,12,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Cleptelmis addenda,L,0,3,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
,,517SLT050,2010-07-22,1,517SLT050_07222010_BMI_RWB_1,Brillia,L,0,2,BMI_RWB,SWAMP,2015-04-17,NF508723-050,SWAMP
