X,Y,objectid,stationid,latitude,longitude,stationwaterdepth,stationwaterdepthunits,areaweight,stratum,lab,sampletypecode,sampletypedesc,toxbatch,species,concentration,endpoint,units,statisticaltest,controlvalue,mean,n,stddev,pctcontrol,sigeffect,qacode,qadescription,sqocategory,comment
-118.09149,33.73515,11,B13-8338,33.73515,-118.09149,46,Ft,0.95519702,Port,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD5X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,93,5,13.03840481,94.89795918,NSC,A,Acceptable data for analysis,Nontoxic,
-118.1924,33.7311,12,B13-8333,33.7311,-118.1924,15,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S077 to S084,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,99,98,5,2.73861279,98.98989899,NSC,A,Acceptable data for analysis,Nontoxic,
-118.23651,33.73906,13,B13-8349,33.73906,-118.23651,14,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S077 to S084,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,99,91,5,6.51920241,91.91919192,SC,A,Acceptable data for analysis,Nontoxic,
-118.23361,33.72924,14,B13-8326,33.72924,-118.23361,11,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S077 to S084,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,99,96,5,2.23606798,96.96969697,SC,A,Acceptable data for analysis,Nontoxic,
-118.1532,33.742717,15,B13-8355,33.742717,-118.1532,10,M,2.00312386,Bay,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,92,5,9.08295106,96.84210526,NSC,A,Acceptable data for analysis,Nontoxic,
-118.21274,33.72762,16,B13-8322,33.72762,-118.21274,22,M,2.00312386,Bay,Nautilus Environmental,Grab,Single sample,1307-S077 to S084,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,99,89,5,7.41619849,89.8989899,SC,A,Acceptable data for analysis,Low Toxicity,
-118.07011,33.72707,17,B13-8321,33.72707,-118.07011,16,Ft,0.63701536,Marina,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD5X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,89,5,8.21583836,90.81632653,SC,A,Acceptable data for analysis,Low Toxicity,
-118.1376,33.7257,18,B13-8319,33.7257,-118.1376,13,M,2.00312386,Bay,Los Angeles County Sanitation Districts,Grab,Single sample,EohSed719,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,94,91,5,8.21583836,96.80851064,NSC,AJ,Acceptable data for analysis; Minor deviation in test conditions,Nontoxic,
-118.22437,33.72421,19,B13-8318,33.72421,-118.22437,18,M,2.00312386,Bay,Nautilus Environmental,Grab,Single sample,1307-S077 to S084,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,99,93,5,5.70087713,93.93939394,SC,A,Acceptable data for analysis,Nontoxic,
-118.2627,33.72387,20,B13-8316,33.72387,-118.2627,27,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S166 to S173,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,99,94,5,8.21583836,94.94949495,NSC,A,Acceptable data for analysis,Nontoxic,
-118.152467,33.72405,21,B13-8315,33.72405,-118.152467,14,M,2.00312386,Bay,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD2A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,43,5,10.95445115,43.87755102,SC,AE,Acceptable data for analysis; Sample stored > 14 days,High Toxicity,
-118.08191,33.73076,22,B13-8328,33.73076,-118.08191,18,Ft,0.32759147,Estuaries,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD5X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,95,5,3.53553391,96.93877551,NSC,A,Acceptable data for analysis,Nontoxic,
-118.23063,33.75109,23,B13-8371,33.75109,-118.23063,17,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S070 to S076,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,96,5,2.23606798,97.95918367,NSC,A,Acceptable data for analysis,Nontoxic,
-118.162667,33.7594,24,B13-8388,33.7594,-118.162667,5,M,2.00312386,Bay,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD2A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,94,5,6.51920241,95.91836735,NSC,AE,Acceptable data for analysis; Sample stored > 14 days,Nontoxic,
-118.27742,33.75686,25,B13-8384,33.75686,-118.27742,18,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S159 to S165,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,96,5,4.18330013,97.95918367,NSC,A,Acceptable data for analysis,Nontoxic,
-118.129894,33.755483,26,B13-8383,33.755483,-118.129894,19,Ft,0.63701536,Marina,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,96,5,4.18330013,101.0526316,NSC,A,Acceptable data for analysis,Nontoxic,
-118.23012,33.75512,27,B13-8382,33.75512,-118.23012,18,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S070 to S076,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,97,5,2.73861279,98.97959184,NSC,A,Acceptable data for analysis,Nontoxic,
-118.10528,33.75302,28,B13-8378,33.75302,-118.10528,4,M,0.32759147,Estuaries,Los Angeles County Sanitation Districts,Grab,Single sample,EohSed0830,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,96,87,5,7.58287544,90.625,SC,AJ,Acceptable data for analysis; Minor deviation in test conditions,Low Toxicity,
-118.177433,33.7529,29,B13-8375,33.7529,-118.177433,8,M,2.00312386,Bay,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,89,5,8.94427191,93.68421053,NSC,A,Acceptable data for analysis,Nontoxic,
-118.158767,33.740133,30,B13-8351,33.740133,-118.158767,11,M,2.00312386,Bay,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,91,5,9.61769203,95.78947368,NSC,A,Acceptable data for analysis,Nontoxic,
-118.118635,33.751271,31,B13-8372,33.751271,-118.118635,13,Ft,0.63701536,Marina,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,97,5,2.73861279,102.1052632,NSC,A,Acceptable data for analysis,Nontoxic,
-118.11662,33.74148,32,B13-8353,33.74148,-118.11662,2,M,0.32759147,Estuaries,Los Angeles County Sanitation Districts,Grab,Single sample,EohSed0830,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,96,89,5,2.23606798,92.70833333,SC,AJ,Acceptable data for analysis; Minor deviation in test conditions,Low Toxicity,
-118.2489,33.74853,33,B13-8367,33.74853,-118.2489,4,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S166 to S173,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,99,97,5,4.47213596,97.97979798,NSC,A,Acceptable data for analysis,Nontoxic,
-118.19819,33.74767,34,B13-8365,33.74767,-118.19819,15,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S166 to S173,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,99,87,5,2.73861279,87.87878788,SC,A,Acceptable data for analysis,Low Toxicity,
-118.22137,33.74719,35,B13-8363,33.74719,-118.22137,15,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S070 to S076,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,94,5,6.51920241,95.91836735,NSC,A,Acceptable data for analysis,Nontoxic,
-118.2157,33.74553,36,B13-8360,33.74553,-118.2157,20,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S070 to S076,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,98,5,2.73861279,100,NSC,A,Acceptable data for analysis,Nontoxic,
-118.168733,33.744217,37,B13-8358,33.744217,-118.168733,11,M,2.00312386,Bay,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,73,5,20.49390153,76.84210526,SC,A,Acceptable data for analysis,Moderate Toxicity,
-118.20448,33.74337,38,B13-8356,33.74337,-118.20448,19,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S070 to S076,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,95,5,5,96.93877551,NSC,A,Acceptable data for analysis,Nontoxic,
-118.126162,33.760071,39,B13-8389,33.760071,-118.126162,19,Ft,0.63701536,Marina,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3B,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,96,87,5,9.74679435,90.625,NSC,A,Acceptable data for analysis,Nontoxic,
-118.21776,33.75269,40,B13-8374,33.75269,-118.21776,24,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S070 to S076,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,88,5,11.51086443,89.79591837,NSC,A,Acceptable data for analysis,Nontoxic,
-117.770247,33.520951,41,B13-9171,33.520951,-117.770247,16,M,19.0790729,Inner Shelf,Orange County Sanitation Districts,Grab,Single sample,OCSD1,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,97,99,5,2.23606798,102.0618557,NSC,A,Acceptable data for analysis,Nontoxic,
-118.447683,33.970367,42,B13-8409,33.970367,-118.447683,5,M,0.63701536,Marina,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD6X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,96,93,5,2.73861279,96.875,NSC,AE,Acceptable data for analysis; Sample stored > 14 days,Nontoxic,
-117.49002,33.06344,43,B13-9099,33.06344,-117.49002,633,M,5.99140582,Canyon Bottom,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,82,5,9.08295106,86.31578947,SC,AE,Acceptable data for analysis; Sample stored > 14 days,Low Toxicity,
-117.35097,33.08764,44,B13-9105,33.08764,-117.35097,73,M,167.9679106,Mid Shelf,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,92,5,2.73861279,96.84210526,NSC,AE,Acceptable data for analysis; Sample stored > 14 days,Nontoxic,
-117.43286,33.09091,45,B13-9106,33.09091,-117.43286,485,M,5.99140582,Canyon Bottom,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD2B,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,90,5,6.12372436,91.83673469,SC,A,Acceptable data for analysis,Nontoxic,
-117.511475,33.221016,46,B13-9125,33.221016,-117.511475,186,M,60.11155358,Outer Shelf,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,94,5,8.94427191,98.94736842,NSC,A,Acceptable data for analysis,Nontoxic,
-117.533447,33.265584,47,B13-9129,33.265584,-117.533447,62,M,167.9679106,Mid Shelf,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,92,5,4.47213596,96.84210526,NSC,A,Acceptable data for analysis,Nontoxic,
-117.761898,33.464034,48,B13-9150,33.464034,-117.761898,151,M,60.11155358,Outer Shelf,Orange County Sanitation Districts,Grab,Single sample,OCSD1,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,97,97,5,4.47213596,100,NSC,A,Acceptable data for analysis,Nontoxic,
-118.065837,33.464168,49,B13-9151,33.464168,-118.065837,580,M,10.88819938,Canyon Bottom,Orange County Sanitation Districts,Grab,Single sample,OCSD1,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,97,95,5,6.12372436,97.93814433,NSC,A,Acceptable data for analysis,Nontoxic,
-117.36379,32.91632,50,B13-9076,32.91632,-117.36379,529,M,14.85364348,Canyon Bottom,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD2B,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,57,5,6.70820393,58.16326531,SC,AE,Acceptable data for analysis; Sample stored > 14 days,High Toxicity,
-118.077604,33.515133,51,B13-9170,33.515133,-118.077604,486,M,10.88819938,Canyon Bottom,Orange County Sanitation Districts,Grab,Single sample,OCSD1,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,97,91,5,4.18330013,93.81443299,SC,A,Acceptable data for analysis,Nontoxic,
-117.50521,32.90256,52,B13-9071,32.90256,-117.50521,805,M,14.85364348,Canyon Bottom,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD2B,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,95,5,3.53553391,96.93877551,NSC,A,Acceptable data for analysis,Nontoxic,
-117.928792,33.553682,53,B13-9178,33.553682,-117.928792,360,M,2.425876,Canyon Bottom,Orange County Sanitation Districts,Grab,Single sample,OCSD1,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,97,93,5,5.70087713,95.87628866,NSC,A,Acceptable data for analysis,Nontoxic,
-118.11346,33.58505,54,B13-9193,33.58505,-118.11346,155,M,10.88819938,Canyon Bottom,Orange County Sanitation Districts,Grab,Single sample,OCSD1,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,97,96,5,2.23606798,98.96907216,NSC,A,Acceptable data for analysis,Nontoxic,
-117.933219,33.600301,55,B13-9197,33.600301,-117.933219,61,M,2.425876,Canyon Bottom,Orange County Sanitation Districts,Grab,Single sample,OCSD1,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,97,93,5,6.70820393,95.87628866,NSC,A,Acceptable data for analysis,Nontoxic,
-118.056462,33.601949,56,B13-9199,33.601949,-118.056462,37,M,167.9679106,Mid Shelf,Orange County Sanitation Districts,Grab,Single sample,OCSD1,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,97,97,5,2.73861279,100,NSC,A,Acceptable data for analysis,Nontoxic,
-118.195,33.621,57,B13-9202,33.621,-118.195,43,M,167.9679106,Mid Shelf,Los Angeles County Sanitation Districts,Grab,Single sample,EohSed719,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,94,97,5,4.47213596,103.1914894,NSC,AJ,Acceptable data for analysis; Minor deviation in test conditions,Nontoxic,
-117.987516,33.627799,58,B13-9204,33.627799,-117.987516,13,M,141.7264132,Inner Shelf,Orange County Sanitation Districts,Grab,Single sample,OCSD1,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,97,98,5,2.73861279,101.0309278,NSC,A,Acceptable data for analysis,Nontoxic,
-118.26751,33.63057,59,B13-9205,33.63057,-118.26751,200,M,1.98856681,Canyon Bottom,Los Angeles County Sanitation Districts,Grab,Single sample,eohSed0906,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,95,5,3.53553391,96.93877551,NSC,AJ,Acceptable data for analysis; Minor deviation in test conditions,Nontoxic,
-118.33711,33.64003,60,B13-9211,33.64003,-118.33711,710,M,1.98856681,Canyon Bottom,Los Angeles County Sanitation Districts,Grab,Single sample,eohSed0906,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,78,5,10.95445115,79.59183673,SC,A,Acceptable data for analysis,Moderate Toxicity,
-117.916016,33.504268,61,B13-9160,33.504268,-117.916016,501,M,2.425876,Canyon Bottom,Orange County Sanitation Districts,Grab,Single sample,OCSD1,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,97,96,5,4.18330013,98.96907216,NSC,A,Acceptable data for analysis,Nontoxic,
-119.22348,34.1712,62,B13-8425,34.1712,-119.22348,3,M,0.63701536,Marina,Los Angeles County Sanitation Districts,Grab,Single sample,EohSed0830,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,96,70,5,6.12372436,72.91666667,SC,AJ,Acceptable data for analysis; Minor deviation in test conditions,Moderate Toxicity,
-118.22204,33.76871,63,B13-8399,33.76871,-118.22204,19,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S159 to S165,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,97,5,4.47213596,98.97959184,NSC,A,Acceptable data for analysis,Nontoxic,
-118.2118,33.77158,64,B13-8401,33.77158,-118.2118,14,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S159 to S165,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,86,5,7.41619849,87.75510204,SC,A,Acceptable data for analysis,Low Toxicity,
-118.20569,33.78083,65,B13-8403,33.78083,-118.20569,9,Ft,0.32759147,Estuaries,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD5X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,44,5,11.40175425,44.89795918,SC,A,Acceptable data for analysis,High Toxicity,
-118.453517,33.9647,66,B13-8407,33.9647,-118.453517,5,M,0.63701536,Marina,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD6X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,96,95,5,3.53553391,98.95833333,NSC,AE,Acceptable data for analysis; Sample stored > 14 days,Nontoxic,
-118.23298,33.71791,67,B13-8310,33.71791,-118.23298,14,M,0.95519702,Port,Nautilus Environmental,Grab,Single sample,1307-S077 to S084,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,99,92,5,6.70820393,92.92929293,SC,A,Acceptable data for analysis,Nontoxic,
-118.43923,33.97108,68,B13-8411,33.97108,-118.43923,7,Ft,0.32759147,Estuaries,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD6X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,96,88,5,4.47213596,91.66666667,SC,AE,Acceptable data for analysis; Sample stored > 14 days,Low Toxicity,
-117.697303,33.459462,69,B13-8259,33.459462,-117.697303,4,M,0,Marina,Nautilus Environmental,Grab,Single sample,1308-S155 to S162,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,88,5,6.70820393,92.63157895,SC,A,Acceptable data for analysis,Low Toxicity,
-118.45075,33.983083,70,B13-8417,33.983083,-118.45075,2,M,0.63701536,Marina,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD6X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,96,79,5,9.61769203,82.29166667,SC,AE,Acceptable data for analysis; Sample stored > 14 days,Low Toxicity,
-117.50238,33.03868,71,B13-9095,33.03868,-117.50238,676,M,5.99140582,Canyon Bottom,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD2B,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,51,5,5.47722558,52.04081633,SC,A,Acceptable data for analysis,High Toxicity,
-119.08406,34.11264,72,B13-8421,34.11264,-119.08406,6,Ft,0.32759147,Estuaries,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD4X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,77,5,5.70087713,81.05263158,SC,A,Acceptable data for analysis,Moderate Toxicity,
-118.24938,33.767,73,B13-8397,33.767,-118.24938,5,M,0.63701536,Marina,Nautilus Environmental,Grab,Single sample,1307-S159 to S165,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,91,5,6.51920241,92.85714286,SC,A,Acceptable data for analysis,Nontoxic,
-119.22353,34.1731,74,B13-8426,34.1731,-119.22353,4,M,0.63701536,Marina,Los Angeles County Sanitation Districts,Grab,Single sample,eohSed1004,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,100,96,5,5.47722558,96,NSC,AJ,Acceptable data for analysis; Minor deviation in test conditions,Nontoxic,
-119.26496,34.24424,75,B13-8430,34.24424,-119.26496,2,M,0.63701536,Marina,Los Angeles County Sanitation Districts,Grab,Single sample,eohSed1004,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,100,91,5,9.61769203,91,NSC,AJ,Acceptable data for analysis; Minor deviation in test conditions,Nontoxic,
-119.68904,34.40453,76,B13-8431,34.40453,-119.68904,2,M,0.63701536,Marina,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD6X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,96,93,5,7.58287544,96.875,NSC,AE,Acceptable data for analysis; Sample stored > 14 days,Nontoxic,
-117.17733,32.727047,77,B13-8500,32.727047,-117.17733,6,M,0,Marina,Nautilus Environmental,Grab,Single sample,1309-S230 to S238,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,97,93,5,5.70087713,95.87628866,NSC,A,Acceptable data for analysis,Nontoxic,
-117.1995,32.55148,78,B13-9007,32.55148,-117.1995,35,M,167.9679106,Mid Shelf,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD2A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,89,5,10.24695077,90.81632653,NSC,AE,Acceptable data for analysis; Sample stored > 14 days,Nontoxic,
-117.3407,32.58574,79,B13-9011,32.58574,-117.3407,184,M,60.11155358,Outer Shelf,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD2A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,63,5,7.58287544,64.28571429,SC,AE,Acceptable data for analysis; Sample stored > 14 days,Moderate Toxicity,
-117.26429,32.58969,80,B13-9012,32.58969,-117.26429,58,M,167.9679106,Mid Shelf,Los Angeles County Sanitation Districts,Grab,Single sample,EohSed719,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,94,95,5,3.53553391,101.0638298,NSC,AJ,Acceptable data for analysis; Minor deviation in test conditions,Nontoxic,
-117.53744,32.88862,81,B13-9069,32.88862,-117.53744,834,M,14.85364348,Canyon Bottom,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD3A,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,90,5,6.12372436,94.73684211,NSC,AE,Acceptable data for analysis; Sample stored > 14 days,Nontoxic,
-119.08708,34.10065,82,B13-8419,34.10065,-119.08708,3,Ft,0.32759147,Estuaries,City of Los Angeles Environmental Monitoring Division,Grab,Single sample,CLAEMD4X,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,97,5,4.47213596,102.1052632,NSC,A,Acceptable data for analysis,Nontoxic,
-117.160821,32.702034,83,B13-8099,32.702034,-117.160821,10,M,0,Port,Nautilus Environmental,Grab,Single sample,1309-S031 to S036,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,98,93,5,2.73861279,94.89795918,SC,A,Acceptable data for analysis,Nontoxic,
-117.174759,32.680331,84,B13-8073,32.680331,-117.174759,5,M,0.25114157,Marina,Nautilus Environmental,Grab,Single sample,1309-S037 to S043,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,100,98,5,2.73861279,98,NSC,A,Acceptable data for analysis,Nontoxic,
-117.136521,32.685488,85,B13-8074,32.685488,-117.136521,10,M,0,Port,Nautilus Environmental,Grab,Single sample,1308-S195 to S201,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,92,5,5.70087713,96.84210526,NSC,A,Acceptable data for analysis,Nontoxic,
-117.133926,32.68561,86,B13-8075,32.68561,-117.133926,10,M,0,Port,Nautilus Environmental,Grab,Single sample,1308-S195 to S201,Eohaustorius estuarius,-88,10 Day Survival Percent,%,UV T-test,95,94,5,6.51920241,98.94736842,NSC,A,Acceptable data for analysis,Nontoxic,
